@relation carac2008

@attribute Id numeric
@attribute MEANN1 numeric
@attribute DVEST1 numeric
@attribute MIN1 numeric
@attribute MAX1 numeric
@attribute MEANN2 numeric
@attribute DVEST2 numeric
@attribute MIN2 numeric
@attribute MAX2 numeric
@attribute MEANN3 numeric
@attribute DVEST3 numeric
@attribute MIN3 numeric
@attribute MAX3 numeric
@attribute MEANN4 numeric
@attribute DVEST4 numeric
@attribute MIN4 numeric
@attribute MAX4 numeric
@attribute MEANNNDVI numeric
@attribute DVESTNDVI numeric
@attribute MINNDVI numeric
@attribute MAXNDVI numeric
@attribute MEANN_EDG numeric
@attribute DVEST_EDG numeric
@attribute UNIFOR numeric
@attribute ENTROP numeric
@attribute CONTRAS numeric
@attribute IDM numeric
@attribute COVAR numeric
@attribute VARIAN numeric
@attribute CORRELAC numeric
@attribute SKEWNESS numeric
@attribute KURTOSIS numeric
@attribute RVF numeric
@attribute RSF numeric
@attribute FDO numeric
@attribute FML numeric
@attribute MFM numeric
@attribute VFM numeric
@attribute RMM numeric
@attribute DMM numeric
@attribute COMPACT numeric
@attribute SH_INDEX numeric
@attribute FRACTAL numeric
@attribute AREA numeric
@attribute PERIMETER numeric
@attribute 2008_cn {arable,casco,citricos,citricosj,cultivado,edificacion,ensanche,industrial,adosado,unifamiliar,yermo}


@data
58,160.13752,12.086017,109.279,191.776,141.83356,12.486035,93.4706,175.51,109.83798,12.273264,57.9614,146.593,0.11411951,0.10327923,-0.217493,1.76019,0.061126183,0.015501757,0.000243456,0.13517565,5.32914,3.38218,0.022946838,1.9014785,4.7749466,0.49655251,7.1438394,9.5313128,0.74951265,-0.60333578,-0.4539235,2.8852627,1.5190448,26.277612,6,109.908,0.28530828,1.3960267,11,0.72142624,1.0433955,1.0098737,5457.3438,308.31853,arable 
127,166.22082,8.2757885,72.4356,216.606,143.9423,8.6099312,36.6188,188.464,119.78527,8.0302757,19.8656,169.916,0.15573831,0.13185673,-0.109829,3.84127,0.072181048,0.016119817,0.026654572,0.47677068,2.59677,3.77787,0.11648612,1.2505635,2.6289468,0.72562288,2.8098536,4.124327,0.68128778,-3.3867948,24.690059,2.6033555,1.2255775,5.9344566,10,38.392167,0.029039678,1.1263632,6,0.42345961,1.3618803,1.0729849,4740.2329,375.0583,arable 
128,156.41456,14.500365,26.7818,218.207,133.34379,14.435165,21.5063,194.94,108.06288,14.988184,3.53884,185.466,0.20944529,0.53281518,-0.0958748,4.76002,0.080351114,0.021141458,-0.14545662,0.36287759,2.92603,4.5332,0.089876859,1.4100038,3.6851195,0.70852138,9.5093792,11.351939,0.83768766,-0.51629162,12.287231,4.9197574,1.4425619,18.914208,20,119.83351,0.24026518,1.2594323,0,0.36898806,1.4589446,1.096162,2580.5796,296.45407,arable 
170,180.90328,8.4514828,59.6205,204.591,163.61609,10.238376,59.6474,200.698,135.06659,9.6725215,32.3051,179.246,0.082841922,0.072913553,-0.229158,0.741928,0.050581203,0.017339244,-0.021305983,0.1065649,4.60773,3.18316,0.023783228,1.7690874,3.9040409,0.51386842,4.0097537,5.9617742,0.67257726,-1.681893,9.9540449,2.5186665,1.2981768,8.4560785,8,43.761701,0.047481786,1.1647423,11,0.26223914,1.730598,1.1460447,1827.947,295.96339,arable 
176,135.25228,14.248286,98.0658,203.79,124.2712,12.217819,67.5635,180.548,88.149686,13.6542,47.8544,158.255,1.3364846,0.95741266,-0.231367,4.00154,0.042016236,0.01863397,-0.000264694,0.20516084,5.35404,2.77799,0.0187601,1.9163687,4.6466383,0.45927023,6.2834965,8.6068157,0.73006054,0.92577387,3.4161304,3.623327,1.281513,15.77307,8,91.920659,0.076895277,1.2671063,4,0.79086403,0.99653839,0.99910206,2260.7966,189.53297,arable 
261,168.66273,5.2315232,145.322,186.17,149.01101,7.249615,117.939,166.874,126.0194,6.5818296,99.1671,148.147,0.15934682,0.073173579,-0.0584245,0.698397,0.062212679,0.013518502,0.024239934,0.1165018,2.03089,1.24584,0.065455994,1.3842959,0.90700537,0.72413275,2.8080515,3.2615542,0.86095504,-0.78203038,0.23035093,4.3972334,1.303841,1.8911376,20,15.28652,0.20504478,1.437626,0,0.56074737,1.1834811,1.0439481,2135.2119,218.74685,arable 
265,170.98262,7.9846383,52.412,194.98,146.11522,8.093823,33.7403,176.949,120.64258,7.4215901,14.4234,151.257,0.079671524,0.14479232,-0.410118,4.2881,0.07873723,0.014890115,0.000398023,0.3416802,1.51998,2.66659,0.18726637,1.0117932,1.3178844,0.83030287,3.2430188,3.901961,0.83112537,-7.1660948,71.128883,5.0018973,1.3749077,4.778593,12,29.316829,0.21084267,1.3146866,7,0.75569689,1.0194622,1.0045941,4408.3574,270.75066,arable 
299,164.55476,9.6138328,58.0186,198.985,142.01379,10.240562,33.0206,175.51,118.19336,9.7248903,18.3107,157.477,0.19014939,0.14994278,-0.205205,2.118,0.074108919,0.018086383,0.016895911,0.37704232,2.57862,4.67119,0.14448049,1.2131443,3.5339396,0.76191282,3.7521124,5.5190822,0.67984354,-3.6173964,21.428654,2.4811397,1.3392877,12.638923,3,47.748386,0.034475651,1.1749832,17,0.47105373,1.2912482,1.0608655,4443.3237,344.28943,arable 
311,163.81982,6.2630519,94.0611,182.966,139.16366,5.9811269,66.1242,156.08,115.74173,5.8609238,47.8544,134.931,0.096006629,0.088556646,-0.0411053,0.557524,0.081529274,0.008475218,0.040155553,0.19059208,1.2568,2.6306,0.29314277,0.78467423,1.1793465,0.85362818,1.1309014,1.7205746,0.65728121,-7.3488835,70.80618,3.6038452,1.4656668,5.0685203,10,22.418,0.14535107,1.2509096,10,0.29865504,1.6216608,1.1443485,811.09448,184.73779,arable 
363,166.25274,2.8726303,135.71,180.563,148.40784,2.7953631,112.901,163.996,116.14467,2.1676451,86.7277,141.15,0.1256744,0.05390694,-0.0253735,0.264769,0.056718783,0.01153654,0.020244757,0.10878166,0.999175,0.841708,0.24225381,0.7893272,0.32155911,0.86084164,0.3780848,0.53886435,0.70163261,-0.66591746,6.1394099,3.9191822,1.4561933,0.96053435,20,5.7182614,0.21052105,1.2193434,0,0.52521788,1.2228557,1.0519512,2310.6848,235.12864,arable 
